scorer,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000,DLC_mobnet_100_force_vitesse_powerFeb18shuffle1_10000
bodyparts,haut,haut,haut,milieu,milieu,milieu,bas,bas,bas
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
105,203.09738159179688,182.78652954101562,0.9399202466011047,206.31236267089844,232.06942749023438,0.9674206376075745,205.32432556152344,271.0019836425781,0.9493151307106018
106,203.09738159179688,182.83160400390625,0.9390981793403625,206.35235595703125,232.44068908691406,0.9705825448036194,205.32432556152344,271.0019836425781,0.9547361731529236
107,203.10108947753906,182.83921813964844,0.9371474981307983,206.3885498046875,232.47984313964844,0.967770516872406,205.71339416503906,271.0019836425781,0.9466190934181213
108,202.9084930419922,182.96145629882812,0.9382879734039307,206.35235595703125,232.47984313964844,0.9675824642181396,205.88668823242188,271.69805908203125,0.964619517326355
109,202.9084930419922,183.2429656982422,0.9356739521026611,206.3885498046875,232.78887939453125,0.9692299962043762,205.88668823242188,272.6714172363281,0.9683356881141663
110,200.62669372558594,183.25193786621094,0.9253515601158142,206.3885498046875,232.78887939453125,0.9640992283821106,205.88668823242188,272.7840270996094,0.9593475461006165
111,200.09881591796875,183.5318145751953,0.9290193319320679,206.20489501953125,234.54661560058594,0.9514196515083313,205.5526885986328,273.1516418457031,0.9535709023475647
112,200.08546447753906,186.12252807617188,0.9311827421188354,205.76864624023438,235.20343017578125,0.9545186758041382,205.1085968017578,274.4418640136719,0.9516754746437073
113,199.52032470703125,187.920654296875,0.9351987242698669,205.76864624023438,236.37059020996094,0.9444041848182678,204.80975341796875,274.9317626953125,0.9640653133392334
114,198.06944274902344,189.3082733154297,0.9364912509918213,205.75942993164062,236.9497528076172,0.9409154057502747,203.89706420898438,275.8922424316406,0.9572216272354126
115,195.99444580078125,190.451171875,0.938649594783783,203.50357055664062,237.85179138183594,0.9396975040435791,201.2360076904297,276.7570495605469,0.9416034817695618
116,195.57261657714844,191.48773193359375,0.9576015472412109,202.43722534179688,238.80105590820312,0.9452193379402161,201.23599243164062,278.5752258300781,0.9227207899093628
117,194.03443908691406,192.96975708007812,0.9672660231590271,200.85842895507812,239.3665313720703,0.9790134429931641,200.52688598632812,279.6551208496094,0.9400349855422974
